Parameter,Tests#,Patterns,Unit,HighL,LowL,mean_site3_devm_No1_loop5.stdf.gextb.csv,mean_site3_devm_No2_loop5.stdf.gextb.csv,mean_site3_devm_No3_loop5.stdf.gextb.csv,mean_site3_devm_No4_loop5.stdf.gextb.csv,mean_site3_devm_No5_loop5.stdf.gextb.csv
atpg1_sort_comp_stuck,20520,flowHome.atpg.patterns.atpg1.E2.sort_atpg1_comp_stuck_20200710,,,,1.0,1.0,1.0,1.0,1.0
atpg1_occ_comp_transition_memory_seq_0p8v,20526,flowHome.atpg.patterns.atpg1_occ.E2.sort_comp_transition_memory_seq_pre_0P8V_final_mask5fail,,,,1.0,1.0,1.0,1.0,1.0
atpg1_occ_comp_transition_memory_seq_0p9v,20530,flowHome.atpg.patterns.atpg1_occ.E2.sort_comp_transition_memory_seq_pre_0P9V_final,,,,1.0,1.0,1.0,1.0,1.0
atpg1_int_stuck,20550,flowHome.atpg.patterns.atpg1.E2.sort_atpg1_int_stuck_0_to_29_20200825,,,,1.0,1.0,1.0,1.0,1.0
atpg2_int_stuck_pre,21000,flowHome.atpg.opSeqs.opSeq_atpg2_int_stuck_pre,,,,1.0,1.0,1.0,1.0,1.0
atpg3_comp_stuck,21101,flowHome.atpg.opSeqs.opSeq_atpt3_comp_stuck,,,,1.0,1.0,1.0,1.0,1.0
atpg4_int_stuck_pre,21200,flowHome.atpg.patterns.atpg4.atpg4_sort_int_stuck_pre_50000_20200309,,,,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_26M_0p8v.p[MBIST:MBIST_dsp_26M_0p8v].td,22008,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_26M_0p8v.p[MBIST:MBIST_infra_26M_0p8v].td,22009,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_26M_0p8v.p[MBIST:MBIST_audio_26M_0p8v].td,22010,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_26M_0p8v.p[MBIST:MBIST_cmsys_26M_0p8v].td,22011,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_rom_26M_0p8v.p[MBIST:MBIST_cmsys_rom_26M_0p8v].td,22012,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_at_speed_0p9v.p[MBIST:MBIST_dsp_at_speed_0p9v].td,22103,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_at_speed_0p9v.p[MBIST:MBIST_infra_at_speed_0p9v].td,22104,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_at_speed_0p9v.p[MBIST:MBIST_audio_at_speed_0p9v].td,22105,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_at_speed_0p9v.p[MBIST:MBIST_cmsys_at_speed_0p9v].td,22106,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_at_speed_0p8v.p[MBIST:MBIST_dsp_at_speed_0p8v].td,22110,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_at_speed_0p8v.p[MBIST:MBIST_infra_at_speed_0p8v].td,22111,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_at_speed_0p8v.p[MBIST:MBIST_audio_at_speed_0p8v].td,22112,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_at_speed_0p8v.p[MBIST:MBIST_cmsys_at_speed_0p8v].td,22113,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_at_speed_0p75v.p[MBIST:MBIST_dsp_at_speed_0p75v].td,22117,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_at_speed_0p75v.p[MBIST:MBIST_infra_at_speed_0p75v].td,22118,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_at_speed_0p75v.p[MBIST:MBIST_audio_at_speed_0p75v].td,22119,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_at_speed_0p75v.p[MBIST:MBIST_cmsys_at_speed_0p75v].td,22120,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_at_speed_0p73v.p[MBIST:MBIST_dsp_at_speed_0p73v].td,22124,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_at_speed_0p73v.p[MBIST:MBIST_infra_at_speed_0p73v].td,22125,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_at_speed_0p73v.p[MBIST:MBIST_audio_at_speed_0p73v].td,22126,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_at_speed_0p73v.p[MBIST:MBIST_cmsys_at_speed_0p73v].td,22127,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret1_0p8v.p[MBIST:MBIST_dsp_ret1_0p8v].td,22203,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret2_0p8v.p[MBIST:MBIST_dsp_ret2_0p8v].td,22206,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret3_0p8v.p[MBIST:MBIST_dsp_ret3_0p8v].td,22209,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret1_0p8v.p[MBIST:MBIST_infra_ret1_0p8v].td,22210,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret2_0p8v.p[MBIST:MBIST_infra_ret2_0p8v].td,22213,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret3_0p8v.p[MBIST:MBIST_infra_ret3_0p8v].td,22216,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret1_0p8v.p[MBIST:MBIST_audio_ret1_0p8v].td,22217,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret2_0p8v.p[MBIST:MBIST_audio_ret2_0p8v].td,22220,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret3_0p8v.p[MBIST:MBIST_audio_ret3_0p8v].td,22223,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret1_0p8v.p[MBIST:MBIST_cmsys_ret1_0p8v].td,22224,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret2_0p8v.p[MBIST:MBIST_cmsys_ret2_0p8v].td,22227,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret3_0p8v.p[MBIST:MBIST_cmsys_ret3_0p8v].td,22230,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret1_0p8v_0p75v.p[MBIST:MBIST_dsp_ret1_0p8v_0p75v].td,22234,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret2_0p8v_0p75v.p[MBIST:MBIST_dsp_ret2_0p8v_0p75v].td,22237,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret3_0p8v_0p75v.p[MBIST:MBIST_dsp_ret3_0p8v_0p75v].td,22240,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret1_0p8v_0p75v.p[MBIST:MBIST_infra_ret1_0p8v_0p75v].td,22241,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret2_0p8v_0p75v.p[MBIST:MBIST_infra_ret2_0p8v_0p75v].td,22244,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret3_0p8v_0p75v.p[MBIST:MBIST_infra_ret3_0p8v_0p75v].td,22247,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret1_0p8v_0p75v.p[MBIST:MBIST_audio_ret1_0p8v_0p75v].td,22248,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret2_0p8v_0p75v.p[MBIST:MBIST_audio_ret2_0p8v_0p75v].td,22251,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret3_0p8v_0p75v.p[MBIST:MBIST_audio_ret3_0p8v_0p75v].td,22254,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret1_0p8v_0p75v.p[MBIST:MBIST_cmsys_ret1_0p8v_0p75v].td,22255,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret2_0p8v_0p75v.p[MBIST:MBIST_cmsys_ret2_0p8v_0p75v].td,22258,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret3_0p8v_0p75v.p[MBIST:MBIST_cmsys_ret3_0p8v_0p75v].td,22261,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret1_0p75v.p[MBIST:MBIST_dsp_ret1_0p75v].td,22265,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret2_0p75v.p[MBIST:MBIST_dsp_ret2_0p75v].td,22268,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret3_0p75v.p[MBIST:MBIST_dsp_ret3_0p75v].td,22271,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret1_0p75v.p[MBIST:MBIST_infra_ret1_0p75v].td,22272,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret2_0p75v.p[MBIST:MBIST_infra_ret2_0p75v].td,22275,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret3_0p75v.p[MBIST:MBIST_infra_ret3_0p75v].td,22278,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret1_0p75v.p[MBIST:MBIST_audio_ret1_0p75v].td,22279,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret2_0p75v.p[MBIST:MBIST_audio_ret2_0p75v].td,22282,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret3_0p75v.p[MBIST:MBIST_audio_ret3_0p75v].td,22285,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret1_0p75v.p[MBIST:MBIST_cmsys_ret1_0p75v].td,22286,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret2_0p75v.p[MBIST:MBIST_cmsys_ret2_0p75v].td,22289,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret3_0p75v.p[MBIST:MBIST_cmsys_ret3_0p75v].td,22292,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret1_0p73v.p[MBIST:MBIST_dsp_ret1_0p73v].td,22296,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret2_0p73v.p[MBIST:MBIST_dsp_ret2_0p73v].td,22299,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_dsp_ret3_0p73v.p[MBIST:MBIST_dsp_ret3_0p73v].td,22302,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret1_0p73v.p[MBIST:MBIST_infra_ret1_0p73v].td,22303,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret2_0p73v.p[MBIST:MBIST_infra_ret2_0p73v].td,22306,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_infra_ret3_0p73v.p[MBIST:MBIST_infra_ret3_0p73v].td,22309,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret1_0p73v.p[MBIST:MBIST_audio_ret1_0p73v].td,22310,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret2_0p73v.p[MBIST:MBIST_audio_ret2_0p73v].td,22313,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_audio_ret3_0p73v.p[MBIST:MBIST_audio_ret3_0p73v].td,22316,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret1_0p73v.p[MBIST:MBIST_cmsys_ret1_0p73v].td,22317,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret2_0p73v.p[MBIST:MBIST_cmsys_ret2_0p73v].td,22320,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.MBIST.MBIST_cmsys_ret3_0p73v.p[MBIST:MBIST_cmsys_ret3_0p73v].td,22323,,,1,1,1.0,1.0,1.0,1.0,1.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x1760EF9F,22333,,,0,0,18874370.0,18874370.0,18874370.0,18874370.0,18874370.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x5500,22334,,,0,0,38400.0,38400.0,38400.0,38400.0,38400.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x5A5A5A5A,22335,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0xF0F0F0F0,22336,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x00000000,22337,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x01010101,22338,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x02020202,22339,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x04040404,22340,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.SF_Test.SF_Read_Check.SF_Chk_0x08080808,22341,,,0,0,0.0,0.0,0.0,0.0,0.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN0_P_0].td,23001,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN0_P_1].td,23002,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN0_N_0].td,23003,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN0_N_1].td,23004,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN1_P_0].td,23005,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN1_P_1].td,23006,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN1_N_0].td,23007,,code,0,0,0.0,0.0,0.0,0.0,0.0
Main.VAD.VAD_A01.p[VAD_A01:AU_VIN1_N_1].td,23008,,code,1,1,1.0,1.0,1.0,1.0,1.0
Main.LPOSC.LPOSC_Max.p[LPOSC_Max:LPOSC_138M_D4_MAX_0p9].td,32001,,MHz,75,35,47.424,48.06099999999999,44.95399999999999,48.06099999999999,47.281
Main.LPOSC.LPOSC_Min.p[LPOSC_Min:LPOSC_138M_D4_MIN_0p9].td,32002,,MHz,34,12,20.605,21.047,20.41,20.475,20.982000000000003
Main.LPOSC.LPOSC_Max.p[LPOSC_Max:LPOSC_138M_D4_MAX_0p8].td,32003,,MHz,75,35,47.515,48.152,45.05800000000001,48.138999999999996,47.385
Main.LPOSC.LPOSC_Min.p[LPOSC_Min:LPOSC_138M_D4_MIN_0p8].td,32004,,MHz,34,12,20.605,21.06,20.345,20.462,20.969
Main.LPOSC.LPOSC_Max.p[LPOSC_Max:LPOSC_138M_D4_MAX_0p75].td,32005,,MHz,75,35,47.606,48.217,45.123000000000005,48.23,47.45
Main.LPOSC.LPOSC_Min.p[LPOSC_Min:LPOSC_138M_D4_MIN_0p75].td,32006,,MHz,34,12,20.592000000000002,21.034,20.383999999999997,20.462,20.982000000000003
Main.LPOSC.LPOSC_Max.p[LPOSC_Max:LPOSC_138M_D4_MAX_0p73].td,32007,,MHz,75,35,47.619,48.23,45.136,48.242999999999995,47.45
Main.LPOSC.LPOSC_Min.p[LPOSC_Min:LPOSC_138M_D4_MIN_0p73].td,32008,,MHz,34,12,20.579,21.034,20.384,20.449,20.943
Main.LPOSC.LPOSC_CALI.p[LPOSC_CALI:FT_Freq].td,32009,,MHz,142,134,138.32,138.58,137.02,137.28,138.26799999999997
